Date,Product Name,Category,Region,Quantity Sold,Revenue,Profit,Inventory Level,Marketing Spend,Customer Rating,Discount Percentage,Seasonal Event Flag
2024-06-01,Smart Pro Watch,Electronics,North America,25,4999.75,2236.71,905,52.7,4.8,0.0,None
2024-06-01,Smart Pro Watch,Electronics,EMEA,21,4199.79,1878.57,778,45.36,4.2,0.0,None
2024-06-01,Smart Pro Watch,Electronics,APAC,22,4399.78,1969.85,766,40.2,4.6,0.0,None
2024-06-01,Smart Pro Watch,Electronics,Latin America,14,2799.86,1243.99,1239,63.78,4.1,0.0,None
2024-06-01,Neural Headset,Electronics,North America,22,6599.78,3293.71,903,24.73,4.6,0.0,None
2024-06-01,Neural Headset,Electronics,EMEA,21,6299.79,3144.21,820,22.75,4.8,0.0,None
2024-06-01,Neural Headset,Electronics,APAC,23,6899.77,3432.06,923,71.32,4.6,0.0,None
2024-06-01,Neural Headset,Electronics,Latin America,12,3599.88,1789.39,766,42.21,4.7,0.0,None
2024-06-01,AeroFit Runner Tee,Apparel,North America,47,1644.53,971.47,1203,61.01,4.7,0.0,None
2024-06-01,AeroFit Runner Tee,Apparel,EMEA,33,1154.67,682.11,904,42.77,4.2,0.0,None
2024-06-01,AeroFit Runner Tee,Apparel,APAC,44,1539.56,907.21,1063,66.1,4.4,0.0,None
2024-06-01,AeroFit Runner Tee,Apparel,Latin America,35,1053.2,525.39,1052,151.79,4.7,14.0,None
2024-06-01,Holo-Knit Hoodie,Apparel,North America,38,3039.62,1653.07,1144,74.87,4.7,0.0,None
2024-06-01,Holo-Knit Hoodie,Apparel,EMEA,32,2559.68,1391.62,1066,64.82,4.9,0.0,None
2024-06-01,Holo-Knit Hoodie,Apparel,APAC,40,3199.6,1751.49,650,33.16,4.8,0.0,None
2024-06-01,Holo-Knit Hoodie,Apparel,Latin America,22,1759.78,960.59,961,29.17,4.8,0.0,None
2024-06-01,EcoTemp Thermostat,Home & Kitchen,North America,11,1429.89,566.0,1075,23.81,4.3,0.0,None
2024-06-01,EcoTemp Thermostat,Home & Kitchen,EMEA,16,2079.84,812.8,658,76.55,4.7,0.0,None
2024-06-01,EcoTemp Thermostat,Home & Kitchen,APAC,13,1689.87,666.95,824,36.01,4.2,0.0,None
2024-06-01,EcoTemp Thermostat,Home & Kitchen,Latin America,12,1372.69,392.46,726,177.19,4.5,12.0,None
2024-06-01,GlowSerum v2,Beauty,North America,32,1599.68,1105.4,780,57.52,4.2,0.0,None
2024-06-01,GlowSerum v2,Beauty,EMEA,19,949.81,651.78,971,52.36,4.9,0.0,None
2024-06-01,GlowSerum v2,Beauty,APAC,28,1399.72,967.47,987,49.32,4.2,0.0,None
2024-06-01,GlowSerum v2,Beauty,Latin America,17,849.83,581.37,931,54.04,4.1,0.0,None
2024-06-01,Apex Yoga Mat,Sports,North America,19,759.81,487.84,659,24.15,4.7,0.0,None
2024-06-01,Apex Yoga Mat,Sports,EMEA,11,439.89,278.45,1146,29.91,4.9,0.0,None
2024-06-01,Apex Yoga Mat,Sports,APAC,13,519.87,329.74,790,32.71,4.7,0.0,None
2024-06-01,Apex Yoga Mat,Sports,Latin America,10,399.9,244.86,1147,60.3,4.4,0.0,None
2024-06-02,Smart Pro Watch,Electronics,North America,24,4799.76,2153.08,881,27.26,4.6,0.0,None
2024-06-02,Smart Pro Watch,Electronics,EMEA,20,3999.8,1791.61,758,33.21,4.1,0.0,None
2024-06-02,Smart Pro Watch,Electronics,APAC,25,4999.75,2241.45,741,33.74,4.1,0.0,None
2024-06-02,Smart Pro Watch,Electronics,Latin America,12,2399.88,1064.91,1227,60.14,4.2,0.0,None
2024-06-02,Neural Headset,Electronics,North America,22,6599.78,3280.86,881,76.13,4.8,0.0,None
2024-06-02,Neural Headset,Electronics,EMEA,17,5099.83,2542.06,803,31.42,4.1,0.0,None
2024-06-02,Neural Headset,Electronics,APAC,17,5099.83,2538.56,906,45.41,4.7,0.0,None
2024-06-02,Neural Headset,Electronics,Latin America,14,4199.86,2093.45,752,25.91,4.4,0.0,None
